label,precision,recall,f1-score,support
aesthetic_emptiness,0.4583333333333333,0.4125,0.4342105263157895,80.0
energetic_playfulness,0.24675324675324675,0.296875,0.2695035460992908,64.0
intellectual_unease,0.6651982378854625,0.6291666666666667,0.6466809421841542,240.0
lighthearted_humor,0.7265625,0.6458333333333334,0.6838235294117647,144.0
melancholic,0.47115384615384615,0.5104166666666666,0.49,96.0
pure_calm,0.4551282051282051,0.5546875,0.5,128.0
serene_beauty,0.4,0.484375,0.4381625441696113,128.0
sublime_activation,0.6627218934911243,0.5384615384615384,0.5941644562334217,208.0
accuracy,0.5422794117647058,0.5422794117647058,0.5422794117647058,0.5422794117647058
macro avg,0.5107314078431523,0.5090394631410255,0.507068193051754,1088.0
weighted avg,0.559986015519043,0.5422794117647058,0.5481342793799364,1088.0
